Herbarium,Herbarium_Code,Accession,County,Phenophase,Month,Day,Year,DayOfYear,Elevation(m),Latitude,Longitude,Collector
Jepson (UC Berkeley),UC-JEPS,93414,Baja - S Coronado Island,First Open Flower,March,19,1966,78,91,,,E.R.Blakley
UC Davis,DAV,10538,Berkeley,First Open Flower,March,21,1943,80,,,,Bob Rodin
California Academy of Sciences,CAS-DS,911571,Butte,First Open Flower,April,1,1976,92,61,,,John Thomas Howell
Rancho Santa Ana Botanic Garden,RSA-POM,590194,Colusa,First Open Flower,March,30,1996,91,,,,Michael A. Vincent & Robert Rhode
Rancho Santa Ana Botanic Garden,RSA-POM,590194,Colusa,First Open Flower,March,30,1996,91,,,,Michael A. Vincent & Robert Rhode
California Academy of Sciences,CAS-DS,509449,Contra Costa,First Open Flower,April,9,1910,99,,,,James McMurphy
Rancho Santa Ana Botanic Garden,RSA-POM,253322,Contra Costa,First Open Flower,April,9,1938,99,,,,A.A. Heller
California Academy of Sciences,CAS-DS,535208,Fresno,First Open Flower,March,20,1959,79,290,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,450353,Fresno,First Open Flower,April,18,1959,108,,,,W.R. Ernst
California Academy of Sciences,CAS-DS,450351,Fresno,First Open Flower,April,18,1959,108,,,,W.R. Ernst
California Academy of Sciences,CAS-DS,450353,Fresno,First Open Flower,April,18,1959,108,,,,W.R. Ernst
California Academy of Sciences,CAS-DS,450353,Fresno,First Open Flower,April,18,1959,108,,,,W.R. Ernst
California Academy of Sciences,CAS-DS,727955,Fresno,First Open Flower,April,10,1967,100,267,,,John H. Thomas
California Academy of Sciences,CAS-DS,727955,Fresno,First Open Flower,April,10,1967,100,267,,,John H. Thomas
California Academy of Sciences,CAS-DS,161273,Humboldt,First Open Flower,May,9,1926,129,853,,,Doris K. Kildale
Jepson (UC Berkeley),UC-JEPS,590,Humboldt,First Open Flower,May,23,1934,143,366,,,Lincoln Constance
California Academy of Sciences,CAS-DS,589102,Inyo,First Open Flower,March,16,1956,77,1128,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,589102,Inyo,First Open Flower,March,16,1956,77,1128,,,Ernest C. Twisselmann
Jepson (UC Berkeley),UC-JEPS,14287,kern,First Open Flower,March,10,1954,69,,,,Rimo Bacigalupi
California Academy of Sciences,CAS-DS,590461,Kern,Peak Flowering,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590461,Kern,Peak Flowering,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590461,Kern,First Open Flower,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,415031,Kern,First Open Flower,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,415031,Kern,First Open Flower,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,415031,Kern,First Open Flower,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590461,Kern,First Open Flower,March,23,1956,84,678,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590461,Kern,First Open Flower,March,23,1956,84,678,,,Ernest C. Twisselmann
Rancho Santa Ana Botanic Garden,RSA-POM,652113,Kern,First Open Flower,March,29,1956,90,488,,,G.F. Orr
Jepson (UC Berkeley),UC-JEPS,22035,Kern,Peak Flowering,March,25,1958,84,792,,,Rimo Bacigalupi
Jepson (UC Berkeley),UC-JEPS,22035,Kern,Peak Flowering,March,25,1958,84,792,,,Rimo Bacigalupi
Jepson (UC Berkeley),UC-JEPS,22035,kern,First Open Flower,March,25,1958,84,792,,,Rimo Bacigalupi
California Academy of Sciences,CAS-DS,450615,Kern,First Open Flower,March,29,1958,88,,,,W.R. Ernst
California Academy of Sciences,CAS-DS,450636,Kern,First Open Flower,March,25,1959,84,,,,W.R. Ernst
California Academy of Sciences,CAS-DS,486945,Kern,First Open Flower,April,6,1961,96,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535271,Kern,First Open Flower,April,6,1961,96,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535271,Kern,First Open Flower,April,6,1961,96,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535271,Kern,First Open Flower,April,6,1961,96,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590444,Kern,First Open Flower,April,6,1961,96,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590444,Kern,First Open Flower,April,6,1961,96,594,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535275,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590443,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535275,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535275,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535275,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535275,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590443,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590443,Kern,Peak Flowering,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,590443,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
California Academy of Sciences,CAS-DS,535275,Kern,First Open Flower,April,1,1962,91,884,,,Ernest C. Twisselmann
